@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 30\nSize of the tree: 46\n','Number of leaves: 32\nSize of the tree: 51\n','Number of leaves: 30\nSize of the tree: 48\n','Number of leaves: 35\nSize of the tree: 54\n','Number of leaves: 30\nSize of the tree: 50\n','Number of leaves: 28\nSize of the tree: 47\n','Number of leaves: 33\nSize of the tree: 53\n','Number of leaves: 31\nSize of the tree: 49\n','Number of leaves: 29\nSize of the tree: 48\n','Number of leaves: 29\nSize of the tree: 49\n','Number of leaves: 33\nSize of the tree: 55\n','Number of leaves: 30\nSize of the tree: 47\n','Number of leaves: 26\nSize of the tree: 43\n','Number of leaves: 32\nSize of the tree: 54\n','Number of leaves: 31\nSize of the tree: 52\n','Number of leaves: 28\nSize of the tree: 46\n','Number of leaves: 31\nSize of the tree: 50\n','Number of leaves: 35\nSize of the tree: 56\n','Number of leaves: 29\nSize of the tree: 46\n','Number of leaves: 30\nSize of the tree: 51\n','Number of leaves: 28\nSize of the tree: 44\n','Number of leaves: 27\nSize of the tree: 45\n','Number of leaves: 36\nSize of the tree: 55\n','Number of leaves: 32\nSize of the tree: 49\n','Number of leaves: 34\nSize of the tree: 56\n','Number of leaves: 28\nSize of the tree: 43\n','Number of leaves: 34\nSize of the tree: 57\n','Number of leaves: 36\nSize of the tree: 58\n','Number of leaves: 32\nSize of the tree: 50\n','Number of leaves: 29\nSize of the tree: 45\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureKNN numeric

@data

audiology,1,10,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,14,8,0,63.636364,36.363636,0,0.580952,0.030022,0.146167,41.200669,76.736739,80.15177,3235.411889,-3155.260119,3.643262,147.064177,-143.420914,52.463355,2.384698,65.455017,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.636364,0.035612,0.964388,0.363636,?,0.636364,?,?,0.916113,0.789355,?,0.636364,0.017,0,0.01,0,10,0,44452,132102,24904,86.363636,7.575758,'Number of leaves: 29\nSize of the tree: 49\n',49,29,29,?
audiology,2,1,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,20,3,0,86.956522,13.043478,0,0.849015,0.016802,0.096042,23.207413,50.786739,80.105844,1083.582142,-1003.476298,3.482863,47.112267,-43.629404,64.345492,2.79763,80.32559,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.869565,0.008282,0.991718,0.130435,?,0.869565,?,?,0.959627,0.860068,?,0.869565,0.052,0.001,0.01,0,10,0,44058,131513,25493,95.652174,7.065217,'Number of leaves: 30\nSize of the tree: 48\n',48,30,30,?
audiology,2,2,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,20,3,0,86.956522,13.043478,0,0.848684,0.015661,0.087532,21.641126,46.309429,78.690807,10.93586,67.754947,3.421339,0.475472,2.945867,69.409654,3.017811,88.205545,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.869565,0.010258,0.989742,0.130435,?,0.869565,?,?,0.981366,0.901656,?,0.869565,0.023,0.001,0.01,0,10,0,45150,131513,25493,100,6.884058,'Number of leaves: 30\nSize of the tree: 50\n',50,30,30,?
audiology,2,3,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,18,5,0,78.26087,21.73913,0,0.743304,0.019285,0.116983,26.648545,61.890971,78.690807,2156.861603,-2078.170796,3.421339,93.776591,-90.355252,63.539388,2.762582,80.74563,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.782609,0.03354,0.96646,0.217391,?,0.782609,?,?,0.939705,0.845294,?,0.782609,0.015,0,0,0,0,0,48336,131513,25493,91.304348,6.521739,'Number of leaves: 33\nSize of the tree: 55\n',55,33,33,?
audiology,2,4,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,16,7,0,69.565217,30.434783,0,0.65,0.027987,0.14574,38.630394,77.010399,81.275769,3234.807967,-3153.532198,3.533729,140.643825,-137.110096,49.09648,2.13463,60.407278,0,0,0,0,1,22,1,1,?,0,?,?,0.5,0.043478,0.695652,0.030617,0.969383,0.304348,?,0.695652,?,?,0.900008,0.689004,?,0.695652,0.015,0,0,0,0,0,45150,131513,25493,86.956522,6.521739,'Number of leaves: 30\nSize of the tree: 50\n',50,30,30,?
audiology,2,5,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,17,6,0,73.913043,26.086957,0,0.685649,0.022005,0.114132,30.35975,60.278777,82.275769,2156.750469,-2074.4747,3.577207,93.77176,-90.194552,60.814072,2.64409,73.914924,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.73913,0.044513,0.955487,0.26087,?,0.73913,?,?,0.94962,0.858853,?,0.73913,0.007,0,0,0,0,0,43512,131513,25493,91.304348,8.152174,'Number of leaves: 30\nSize of the tree: 47\n',47,30,30,?
audiology,2,6,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,16,7,0,69.565217,30.434783,0,0.650759,0.02779,0.14402,37.957846,75.212337,87.838805,3236.73888,-3148.900075,3.819078,140.727777,-136.908699,58.025001,2.522826,66.058504,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.695652,0.034412,0.965588,0.304348,?,0.695652,?,?,0.896574,0.676518,?,0.695652,0.013,0,0,0,0,0,43512,131513,25493,82.608696,6.702899,'Number of leaves: 30\nSize of the tree: 47\n',47,30,30,?
audiology,2,7,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,16,6,0,72.727273,27.272727,0,0.678049,0.028703,0.138558,39.662434,73.303065,74.789471,2163.901984,-2089.112513,3.399521,98.359181,-94.95966,52.811934,2.400542,70.61413,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.727273,0.035829,0.964171,0.272727,?,0.727273,?,?,0.896708,0.755647,?,0.727273,0.025,0.001,0.01,0,10,0,44452,132102,24904,81.818182,7.19697,'Number of leaves: 29\nSize of the tree: 49\n',49,29,29,?
audiology,2,8,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,17,5,0,77.272727,22.727273,0,0.736211,0.022528,0.119862,30.887884,62.86386,77.534255,2156.736593,-2079.202338,3.524284,98.033481,-94.509197,58.347593,2.652163,75.253956,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.772727,0.021823,0.978177,0.227273,?,0.772727,?,?,0.928093,0.765299,?,0.772727,0.007,0.001,0,0,0,0,43208,132102,24904,90.909091,7.19697,'Number of leaves: 28\nSize of the tree: 47\n',47,28,28,?
audiology,2,9,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,16,6,0,72.727273,27.272727,0,0.678049,0.027952,0.137749,38.439569,72.483045,78.91848,3234.979217,-3156.060737,3.587204,147.04451,-143.457306,49.32847,2.242203,62.5056,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.727273,0.040783,0.959217,0.272727,?,0.727273,?,?,0.88888,0.640722,?,0.727273,0.008,0,0.01,0,10,0,40720,132102,24904,81.818182,9.280303,'Number of leaves: 26\nSize of the tree: 43\n',43,26,26,?
